@relation ar3_numericdefects

@attribute total_loc numeric
@attribute blank_loc numeric
@attribute comment_loc numeric
@attribute code_and_comment_loc numeric
@attribute executable_loc numeric
@attribute unique_operands numeric
@attribute unique_operators numeric
@attribute total_operands numeric
@attribute total_operators numeric
@attribute halstead_vocabulary numeric
@attribute halstead_length numeric
@attribute halstead_volume numeric
@attribute halstead_level numeric
@attribute halstead_difficulty numeric
@attribute halstead_effort numeric
@attribute halstead_error numeric
@attribute halstead_time numeric
@attribute branch_count numeric
@attribute decision_count numeric
@attribute call_pairs numeric
@attribute condition_count numeric
@attribute multiple_condition_count numeric
@attribute cyclomatic_complexity numeric
@attribute cyclomatic_density numeric
@attribute decision_density numeric
@attribute design_complexity numeric
@attribute design_density numeric
@attribute normalized_cyclomatic_complexity numeric
@attribute formal_parameters numeric
@attribute defects numeric

@data 
307,116,44,5,147,138,23,245,366,161,611,3104,0.05,20,62080,1.03,3448.89,94,47,43,39,10,37,0.25,1.21,43,1.16,0.12,0,1
3,0,0,0,3,4,6,6,8,10,14,32,0.22,4.55,145.45,0.01,8.08,0,0,0,0,0,1,0.33,0,0,0,0.33,0,0
268,72,22,0,174,125,23,337,484,148,821,4102,0.03,33.33,136733.33,1.37,7596.3,190,95,0,94,32,64,0.37,1.01,0,0,0.24,0,0
11,2,0,0,9,10,4,15,17,14,32,84,0.33,3.03,254.55,0.03,14.14,0,0,2,0,0,1,0.11,0,2,2,0.09,0,0
9,2,0,0,7,7,4,11,13,11,24,57,0.32,3.13,178.13,0.02,9.9,0,0,1,0,0,1,0.14,0,1,1,0.11,0,0
10,2,0,0,8,7,4,13,15,11,28,67,0.27,3.7,248.15,0.02,13.79,0,0,2,0,0,1,0.13,0,2,2,0.1,0,0
5,0,0,0,5,5,3,5,9,8,14,29,0.67,1.49,43.28,0.01,2.4,0,0,3,0,0,1,0.2,0,3,3,0.2,0,0
28,5,1,0,22,18,12,49,53,30,102,346,0.06,16.67,5766.67,0.12,320.37,8,4,2,3,1,4,0.18,1.33,2,0.5,0.14,1,0
26,6,0,0,20,16,11,41,44,27,85,280,0.07,14.29,4000,0.09,222.22,4,2,2,1,0,3,0.15,2,2,0.67,0.12,0,0
15,4,0,0,11,11,5,19,22,16,41,113,0.23,4.35,491.3,0.04,27.29,0,0,7,0,0,1,0.09,0,7,7,0.07,1,0
23,5,1,0,17,18,9,25,36,27,61,201,0.16,6.25,1256.25,0.07,69.79,4,2,7,1,0,3,0.18,2,7,2.33,0.13,2,0
10,4,0,0,6,9,6,24,23,15,47,127,0.13,7.69,976.92,0.04,54.27,0,0,3,0,0,1,0.17,0,3,3,0.1,2,0
23,5,1,0,17,15,10,43,58,25,101,325,0.07,14.29,4642.86,0.11,257.94,16,8,4,8,4,5,0.29,1,4,0.8,0.22,1,0
76,11,11,2,54,49,14,116,166,63,282,1168,0.06,16.67,19466.67,0.39,1081.48,58,29,17,29,14,16,0.3,1,17,1.06,0.21,0,0
203,63,37,6,103,60,23,304,348,83,652,2881,0.02,50,144050,0.96,8002.78,58,29,77,28,8,22,0.21,1.04,77,3.5,0.11,0,0
64,18,7,1,39,35,14,75,97,49,172,669,0.07,14.29,9557.14,0.22,530.95,24,12,8,12,3,10,0.26,1,8,0.8,0.16,0,0
94,21,17,3,56,35,18,103,145,53,248,984,0.04,25,24600,0.33,1366.67,32,16,29,16,4,12,0.21,1,29,2.42,0.13,0,0
31,10,5,0,16,19,5,64,66,24,130,413,0.12,8.33,3441.67,0.14,191.2,0,0,24,0,0,1,0.06,0,24,24,0.03,0,0
70,21,15,0,34,30,7,83,88,37,171,617,0.1,10,6170,0.21,342.78,2,1,17,0,0,2,0.06,0,17,8.5,0.03,0,0
20,9,8,0,3,12,4,19,22,16,41,113,0.32,3.13,353.13,0.04,19.62,0,0,9,0,0,1,0.33,0,9,9,0.05,0,0
