$total_loc,$blank_loc,$comment_loc,$code_and_comment_loc,$executable_loc,$unique_operands,$unique_operators,$total_operands,$total_operators,$halstead_vocabulary,$halstead_length,$halstead_volume,$halstead_level,$halstead_difficulty,$halstead_effort,$halstead_error,$halstead_time,$branch_count,$decision_count,$call_pairs,$condition_count,$multiple_condition_count,$cyclomatic_complexity,$cyclomatic_density,$decision_density,$design_complexity,$design_density,$normalized_cyclomatic_complexity,$formal_parameters,$>defects
82.0,26.0,9.0,0.0,47.0,55.0,12.0,91.0,132.0,67.0,223.0,937.0,0.1,10.0,9370.0,0.31,520.56,20.0,10.0,20.0,4.0,1.0,10.0,0.21,2.5,20.0,2.0,0.12,0.0,0.0
16.0,6.0,2.0,1.0,8.0,13.0,6.0,18.0,20.0,19.0,38.0,111.0,0.24,4.17,462.5,0.04,25.69,2.0,1.0,1.0,0.0,0.0,2.0,0.25,0.0,1.0,0.5,0.13,1.0,0.0
31.0,12.0,3.0,2.0,16.0,18.0,9.0,31.0,42.0,27.0,73.0,240.0,0.13,7.69,1846.15,0.08,102.56,10.0,5.0,1.0,5.0,0.0,6.0,0.38,1.0,1.0,0.17,0.19,0.0,0.0
477.0,104.0,89.0,2.0,284.0,150.0,29.0,482.0,699.0,179.0,1181.0,6126.0,0.02,50.0,306300.0,2.04,17016.67,236.0,118.0,4.0,116.0,25.0,93.0,0.33,1.02,4.0,0.04,0.19,0.0,2.0
11.0,2.0,0.0,0.0,9.0,10.0,4.0,15.0,17.0,14.0,32.0,84.0,0.33,3.03,254.55,0.03,14.14,0.0,0.0,2.0,0.0,0.0,1.0,0.11,0.0,2.0,2.0,0.09,0.0,0.0
9.0,2.0,0.0,0.0,7.0,7.0,4.0,11.0,13.0,11.0,24.0,57.0,0.32,3.13,178.13,0.02,9.9,0.0,0.0,1.0,0.0,0.0,1.0,0.14,0.0,1.0,1.0,0.11,0.0,0.0
10.0,2.0,0.0,0.0,8.0,7.0,4.0,13.0,15.0,11.0,28.0,67.0,0.27,3.7,248.15,0.02,13.79,0.0,0.0,2.0,0.0,0.0,1.0,0.13,0.0,2.0,2.0,0.1,0.0,0.0
5.0,0.0,0.0,0.0,5.0,5.0,3.0,5.0,9.0,8.0,14.0,29.0,0.67,1.49,43.28,0.01,2.4,0.0,0.0,3.0,0.0,0.0,1.0,0.2,0.0,3.0,3.0,0.2,0.0,0.0
28.0,5.0,1.0,0.0,22.0,18.0,12.0,49.0,53.0,30.0,102.0,346.0,0.06,16.67,5766.67,0.12,320.37,8.0,4.0,2.0,3.0,1.0,4.0,0.18,1.33,2.0,0.5,0.14,1.0,0.0
26.0,6.0,0.0,0.0,20.0,16.0,11.0,41.0,44.0,27.0,85.0,280.0,0.07,14.29,4000.0,0.09,222.22,4.0,2.0,2.0,1.0,0.0,3.0,0.15,2.0,2.0,0.67,0.12,0.0,0.0
15.0,4.0,0.0,0.0,11.0,11.0,5.0,19.0,22.0,16.0,41.0,113.0,0.23,4.35,491.3,0.04,27.29,0.0,0.0,7.0,0.0,0.0,1.0,0.09,0.0,7.0,7.0,0.07,1.0,0.0
22.0,4.0,1.0,0.0,17.0,17.0,9.0,25.0,36.0,26.0,61.0,198.0,0.15,6.67,1320.0,0.07,73.33,4.0,2.0,7.0,1.0,0.0,3.0,0.18,2.0,7.0,2.33,0.14,2.0,0.0
